Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende;;;;;;;
Austin Ekeler;4663;2022;0;Arneee;14700000,00 ;14700000,00 ;;;0,00 ;;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;1;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;2;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;3;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;4;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;5;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;6;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;7;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;8;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;9;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;10;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;11;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;12;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;13;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;14;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;15;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2022;16;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2023;0;Arneee;14700000,00 ;14700000,00 ;;;0,00 ;;Roster;;2024;;;;;;;
Austin Ekeler;4663;2023;1;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2023;2;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2023;3;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2023;4;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2023;5;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2023;6;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2023;7;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
