Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende;;;;;;;
Raheem Mostert;2749;2021;2;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;3;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;4;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;5;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;6;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;7;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;8;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;9;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;10;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;11;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;12;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;13;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;14;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;15;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;16;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
Ronald Jones;4955;2021;0;Arneee;8099000 ;4504500 ;;;0,00 ;;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;1;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;2;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;3;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;4;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;5;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;6;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;7;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;8;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;9;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;10;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;11;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
Ronald Jones;4955;2021;12;Arneee;8099000 ;4504500 ;506188 ;281531 ;0,00 ;16;Roster;;2022;;;;;;;
